ZCTA5,pop_weighted_positive,area_weighted_positive
53503,449,266
53507,604,432
53508,1341,839
53515,606,595
53516,511,638
53517,455,399
53521,1002,1255
53523,1501,1282
53527,3591,3562
53528,1598,1708
53529,814,1415
53531,1495,1262
53532,4972,5464
53534,3768,3393
53536,2455,2546
53544,223,306
53555,2733,2858
53558,3794,3736
53559,1772,1583
53560,925,1136
53562,7281,6397
53571,117,15
53572,3126,3435
53574,956,450
53575,5618,6036
53578,1879,999
53583,1788,1795
53589,6356,6746
53590,13213,12104
53593,6875,8904
53594,1555,1215
53597,6072,6687
53598,1045,222
53703,11622,11841
53704,14983,14573
53705,5611,5882
53706,1761,1757
53711,14031,13989
53713,8122,7829
53714,5265,5216
53715,4474,4385
53716,5379,4926
53717,3433,2690
53718,5468,6328
53719,8939,7697
53726,1320,1124
53792,0,13
53911,415,733
53925,2787,3488
53960,925,1072
